date,cases
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,2.0
2020-01-25,2.0
2020-01-26,5.0
2020-01-27,5.0
2020-01-28,5.0
2020-01-29,6.0
2020-01-30,6.0
2020-01-31,8.0
2020-02-01,8.0
2020-02-02,8.0
2020-02-03,11.0
2020-02-04,11.0
2020-02-05,11.0
2020-02-06,12.0
2020-02-07,12.0
2020-02-08,12.0
2020-02-09,12.0
2020-02-10,12.0
2020-02-11,13.0
2020-02-12,13.0
2020-02-13,14.0
2020-02-14,14.0
2020-02-15,14.0
2020-02-16,14.0
2020-02-17,15.0
2020-02-18,16.0
2020-02-19,16.0
2020-02-20,16.0
2020-02-21,16.0
2020-02-22,16.0
2020-02-23,16.0
2020-02-24,17.0
2020-02-25,18.0
2020-02-26,19.0
2020-02-27,19.0
2020-02-28,19.0
2020-02-29,26.0
2020-03-01,39.0
2020-03-02,57.0
2020-03-03,79.0
2020-03-04,113.0
2020-03-05,184.0
2020-03-06,247.0
2020-03-07,417.0
2020-03-08,538.0
2020-03-09,630.0
2020-03-10,797.0
2020-03-11,1156.0
2020-03-12,1596.0
2020-03-13,2222.0
2020-03-14,2952.0
2020-03-15,3234.0
2020-03-16,4667.0
2020-03-17,6450.0
2020-03-18,9156.0
2020-03-19,13663.0
2020-03-20,20064.0
2020-03-21,26056.0
2020-03-22,34944.0
2020-03-23,46096.0
2020-03-24,56714.0
2020-03-25,68841.0
2020-03-26,86662.0
2020-03-27,105253.0
2020-03-28,127417.0
2020-03-29,143544.0
2020-03-30,165698.0
2020-03-31,192079.0
2020-04-01,227543.0
2020-04-02,259798.0
2020-04-03,292201.0
2020-04-04,323965.0
2020-04-05,353117.0
2020-04-06,385110.0
2020-04-07,415256.0
2020-04-08,446500.0
2020-04-09,481981.0
2020-04-10,516396.0
2020-04-11,545313.0
2020-04-12,571551.0
2020-04-13,598789.0
2020-04-14,627306.0
2020-04-15,653345.0
2020-04-16,682962.0
2020-04-17,716152.0
2020-04-18,743464.0
2020-04-19,768888.0
2020-04-20,799149.0
2020-04-21,825478.0
2020-04-22,855445.0
2020-04-23,887523.0
2020-04-24,919014.0
2020-04-25,949640.0
2020-04-26,975537.0
2020-04-27,1000230.0
2020-04-28,1024834.0
2020-04-29,1051643.0
2020-04-30,1081150.0
2020-05-01,1115972.0
2020-05-02,1142619.0
2020-05-03,1166189.0
2020-05-04,1190240.0
2020-05-05,1214321.0
2020-05-06,1238694.0
2020-05-07,1266904.0
2020-05-08,1294111.0
2020-05-09,1318358.0
2020-05-10,1337061.0
2020-05-11,1356283.0
2020-05-12,1379661.0
2020-05-13,1399662.0
2020-05-14,1425539.0
2020-05-15,1449938.0
2020-05-16,1473806.0
2020-05-17,1492449.0
2020-05-18,1514833.0
2020-05-19,1535591.0
2020-05-20,1558430.0
2020-05-21,1583542.0
2020-05-22,1607464.0
2020-05-23,1627392.0
2020-05-24,1647513.0
2020-05-25,1666699.0
2020-05-26,1685395.0
2020-05-27,1704200.0
2020-05-28,1725329.0
2020-05-29,1750066.0
2020-05-30,1772783.0
2020-05-31,1791547.0
2020-06-01,1809384.0
2020-06-02,1829340.0
2020-06-03,1848388.0
2020-06-04,1876099.0
2020-06-05,1902280.0
2020-06-06,1922433.0
2020-06-07,1940242.0
2020-06-08,1957154.0
2020-06-09,1977478.0
2020-06-10,1999224.0
2020-06-11,2021527.0
2020-06-12,2047082.0
2020-06-13,2071218.0
2020-06-14,2090171.0
2020-06-15,2111266.0
2020-06-16,2135894.0
2020-06-17,2162973.0
2020-06-18,2191211.0
2020-06-19,2222207.0
2020-06-20,2254073.0
2020-06-21,2279932.0
2020-06-22,2309921.0
2020-06-23,2348750.0
2020-06-24,2385029.0
2020-06-25,2424386.0
2020-06-26,2473472.0
2020-06-27,2514305.0
2020-06-28,2557223.0
2020-06-29,2598741.0
2020-06-30,2648797.0
2020-07-01,2698127.0
2020-07-02,2753211.0
2020-07-03,2804869.0
2020-07-04,2850893.0
2020-07-05,2904843.0
2020-07-06,2948475.0
2020-07-07,3005888.0
2020-07-08,3066392.0
2020-07-09,3126225.0
2020-07-10,3194747.0
2020-07-11,3255188.0
2020-07-12,3315408.0
2020-07-13,3375033.0
2020-07-14,3440790.0
2020-07-15,3507089.0
2020-07-16,3577863.0
2020-07-17,3644285.0
2020-07-18,3708610.0
2020-07-19,3767603.0
2020-07-20,3828459.0
2020-07-21,3896754.0
2020-07-22,3964204.0
2020-07-23,4031971.0
2020-07-24,4106920.0
2020-07-25,4170675.0
2020-07-26,4226306.0
2020-07-27,4286303.0
2020-07-28,4350867.0
2020-07-29,4414919.0
2020-07-30,4484123.0
2020-07-31,4548498.0
2020-08-01,4605922.0
2020-08-02,4652811.0
2020-08-03,4694707.0
2020-08-04,4756328.0
2020-08-05,4810465.0
2020-08-06,4870501.0
2020-08-07,4930942.0
2020-08-08,4994709.0
2020-08-09,5048872.0
2020-08-10,5100509.0
2020-08-11,5157385.0
2020-08-12,5212607.0
2020-08-13,5264053.0
2020-08-14,5334125.0
2020-08-15,5386450.0
2020-08-16,5421027.0
2020-08-17,5459024.0
2020-08-18,5503999.0
2020-08-19,5549914.0
2020-08-20,5595049.0
2020-08-21,5642949.0
2020-08-22,5688220.0
2020-08-23,5720123.0
2020-08-24,5754214.0
2020-08-25,5796776.0
2020-08-26,5838968.0
2020-08-27,5889405.0
2020-08-28,5935725.0
2020-08-29,5978796.0
2020-08-30,6012964.0
2020-08-31,6046490.0
2020-09-01,6088459.0
2020-09-02,6128577.0
2020-09-03,6173788.0
2020-09-04,6222447.0
2020-09-05,6265685.0
2020-09-06,6294763.0
2020-09-07,6319465.0
2020-09-08,6346568.0
2020-09-09,6380419.0
2020-09-10,6420041.0
2020-09-11,6464866.0
2020-09-12,6510481.0
2020-09-13,6550789.0
2020-09-14,6583690.0
2020-09-15,6621129.0
2020-09-16,6659478.0
2020-09-17,6704919.0
2020-09-18,6755146.0
2020-09-19,6800801.0
2020-09-20,6842406.0
2020-09-21,6874666.0
2020-09-22,6912974.0
2020-09-23,6954204.0
2020-09-24,7003201.0
2020-09-25,7050827.0
2020-09-26,7094717.0
2020-09-27,7128424.0
2020-09-28,7164995.0
2020-09-29,7207285.0
2020-09-30,7246201.0
2020-10-01,7292563.0
2020-10-02,7346110.0
2020-10-03,7395490.0
2020-10-04,7428860.0
2020-10-05,7466807.0
2020-10-06,7511828.0
2020-10-07,7561295.0
2020-10-08,7619508.0
2020-10-09,7674839.0
2020-10-10,7730093.0
2020-10-11,7776973.0
2020-10-12,7819928.0
2020-10-13,7870524.0
2020-10-14,7929695.0
2020-10-15,7993557.0
2020-10-16,8063867.0
2020-10-17,8118717.0
2020-10-18,8171011.0
2020-10-19,8239748.0
2020-10-20,8302319.0
2020-10-21,8363744.0
2020-10-22,8443960.0
2020-10-23,8526092.0
2020-10-24,8604191.0
2020-10-25,8664568.0
2020-10-26,8729038.0
2020-10-27,8808015.0
2020-10-28,8896403.0
2020-10-29,8989082.0
2020-10-30,9089581.0
2020-10-31,9176353.0
2020-11-01,9254491.0
2020-11-02,9338429.0
2020-11-03,9465331.0
2020-11-04,9567400.0
2020-11-05,9697432.0
2020-11-06,9826559.0
2020-11-07,9953781.0
2020-11-08,10073149.0
2020-11-09,10192674.0
2020-11-10,10331958.0
2020-11-11,10481517.0
2020-11-12,10641054.0
2020-11-13,10819815.0
2020-11-14,10982695.0
2020-11-15,11121209.0
2020-11-16,11276946.0
2020-11-17,11444298.0
2020-11-18,11617714.0
2020-11-19,11809681.0
2020-11-20,12010766.0
2020-11-21,12188370.0
2020-11-22,12333605.0
2020-11-23,12517891.0
2020-11-24,12692859.0
2020-11-25,12874110.0
2020-11-26,12987021.0
2020-11-27,13202223.0
2020-11-28,13369712.0
2020-11-29,13509385.0
2020-11-30,13667916.0
2020-12-01,13866747.0
2020-12-02,14063763.0
2020-12-03,14283186.0
2020-12-04,14518320.0
2020-12-05,14738243.0
2020-12-06,14916374.0
2020-12-07,15112615.0
2020-12-08,15340114.0
2020-12-09,15555849.0
2020-12-10,15791626.0
2020-12-11,16028528.0
2020-12-12,16251284.0
2020-12-13,16441926.0
2020-12-14,16652287.0
2020-12-15,16879508.0
2020-12-16,17113651.0
2020-12-17,17352825.0
2020-12-18,17599265.0
2020-12-19,17804290.0
2020-12-20,17990459.0
2020-12-21,18187884.0
2020-12-22,18393674.0
2020-12-23,18614461.0
2020-12-24,18826056.0
2020-12-25,18951580.0
2020-12-26,19169548.0
2020-12-27,19305731.0
2020-12-28,19480364.0
2020-12-29,19687206.0
2020-12-30,19905955.0
2020-12-31,20219881.0
2021-01-01,20397401.0
2021-01-02,20670025.0
2021-01-03,20873238.0
2021-01-04,21059971.0
2021-01-05,21292113.0
2021-01-06,21551828.0
2021-01-07,21836891.0
2021-01-08,22139751.0
2021-01-09,22403255.0
2021-01-10,22613201.0
2021-01-11,22817703.0
2021-01-12,23040119.0
2021-01-13,23268794.0
2021-01-14,23503718.0
2021-01-15,23748054.0
2021-01-16,23965036.0
2021-01-17,24141201.0
2021-01-18,24282485.0
2021-01-19,24439499.0
2021-01-20,24627167.0
2021-01-21,24819194.0
2021-01-22,25010550.0
2021-01-23,25187889.0
2021-01-24,25327684.0
2021-01-25,25457657.0
2021-01-26,25608950.0
2021-01-27,25764115.0
2021-01-28,25930830.0
2021-01-29,26094129.0
2021-01-30,26244538.0
2021-01-31,26357109.0
2021-02-01,26482921.0
2021-02-02,26600311.0
2021-02-03,26724686.0
2021-02-04,26849339.0
2021-02-05,26979746.0
2021-02-06,27096026.0
2021-02-07,27185195.0
2021-02-08,27268357.0
2021-02-09,27364115.0
2021-02-10,27459810.0
2021-02-11,27565962.0
2021-02-12,27665521.0
2021-02-13,27755869.0
2021-02-14,27824059.0
2021-02-15,27880163.0
2021-02-16,27940001.0
2021-02-17,28009006.0
2021-02-18,28081256.0
2021-02-19,28156130.0
2021-02-20,28229711.0
2021-02-21,28284964.0
2021-02-22,28341020.0
2021-02-23,28414850.0
2021-02-24,28489831.0
2021-02-25,28566891.0
2021-02-26,28641814.0
2021-02-27,28712644.0
2021-02-28,28764300.0
2021-03-01,28814422.0
2021-03-02,28873099.0
2021-03-03,28940167.0
2021-03-04,29008608.0
2021-03-05,29075790.0
2021-03-06,29136553.0
2021-03-07,29178097.0
2021-03-08,29222845.0
2021-03-09,29278676.0
2021-03-10,29336396.0
2021-03-11,29398151.0
2021-03-12,29460425.0
2021-03-13,29516683.0
2021-03-14,29555249.0
2021-03-15,29606786.0
2021-03-16,29661865.0
2021-03-17,29721744.0
2021-03-18,29783947.0
2021-03-19,29844857.0
2021-03-20,29903124.0
2021-03-21,29938536.0
2021-03-22,29986973.0
2021-03-23,30039699.0
2021-03-24,30127524.0
2021-03-25,30194913.0
2021-03-26,30271057.0
2021-03-27,30334849.0
2021-03-28,30381221.0
2021-03-29,30447864.0
2021-03-30,30510086.0
2021-03-31,30579488.0
2021-04-01,30656333.0
2021-04-02,30730197.0
2021-04-03,30794706.0
2021-04-04,30832573.0
2021-04-05,30900797.0
2021-04-06,30964192.0
2021-04-07,31039931.0
2021-04-08,31119775.0
2021-04-09,31204187.0
2021-04-10,31274551.0
2021-04-11,31321882.0
2021-04-12,31385084.0
2021-04-13,31465797.0
2021-04-14,31540759.0
2021-04-15,31614987.0
2021-04-16,31697735.0
2021-04-17,31753119.0
2021-04-18,31796942.0
2021-04-19,31856777.0
2021-04-20,31919206.0
2021-04-21,31983896.0
2021-04-22,32050109.0
2021-04-23,32112759.0
2021-04-24,32167066.0
2021-04-25,32201474.0
2021-04-26,32244762.0
2021-04-27,32296819.0
2021-04-28,32352653.0
2021-04-29,32410332.0
2021-04-30,32468058.0
2021-05-01,32516229.0
2021-05-02,32546825.0
2021-05-03,32592225.0
2021-05-04,32634952.0
2021-05-05,32680747.0
2021-05-06,32726692.0
2021-05-07,32774857.0
2021-05-08,32809821.0
2021-05-09,32832560.0
2021-05-10,32865356.0
2021-05-11,32900636.0
2021-05-12,32936597.0
2021-05-13,32974480.0
2021-05-14,33016062.0
2021-05-15,33046543.0
2021-05-16,33064175.0
2021-05-17,33089706.0
2021-05-18,33118724.0
2021-05-19,33147768.0
2021-05-20,33177773.0
2021-05-21,33206438.0
2021-05-22,33227355.0
2021-05-23,33241143.0
2021-05-24,33263301.0
2021-05-25,33287107.0
2021-05-26,33311458.0
2021-05-27,33338004.0
2021-05-28,33359920.0
2021-05-29,33372894.0
2021-05-30,33380100.0
2021-05-31,33386450.0
2021-06-01,33407543.0
2021-06-02,33424134.0
2021-06-03,33442103.0
2021-06-04,33459616.0
2021-06-05,33474773.0
2021-06-06,33480669.0
2021-06-07,33494855.0
2021-06-08,33507654.0
2021-06-09,33525855.0
2021-06-10,33540372.0
2021-06-11,33564876.0
2021-06-12,33573697.0
2021-06-13,33578726.0
2021-06-14,33590631.0
2021-06-15,33601274.0
2021-06-16,33613028.0
2021-06-17,33624550.0
2021-06-18,33645536.0
2021-06-19,33654425.0
2021-06-20,33659354.0
2021-06-21,33670082.0
2021-06-22,33680852.0
2021-06-23,33693342.0
2021-06-24,33707537.0
2021-06-25,33732046.0
2021-06-26,33741091.0
2021-06-27,33745753.0
2021-06-28,33759518.0
2021-06-29,33767049.0
2021-06-30,33782328.0
2021-07-01,33797254.0
2021-07-02,33826850.0
2021-07-03,33832136.0
2021-07-04,33836407.0
2021-07-05,33845572.0
2021-07-06,33868140.0
2021-07-07,33888279.0
2021-07-08,33909163.0
2021-07-09,33956137.0
2021-07-10,33966179.0
2021-07-11,33977947.0
2021-07-12,34007608.0
2021-07-13,34034113.0
2021-07-14,34065233.0
2021-07-15,34097165.0
2021-07-16,34175196.0
2021-07-17,34189267.0
2021-07-18,34209651.0
2021-07-19,34258864.0
2021-07-20,34298789.0
2021-07-21,34346643.0
2021-07-22,34403070.0
2021-07-23,34523851.0
2021-07-24,34553246.0
2021-07-25,34581900.0
2021-07-26,34660438.0
2021-07-27,34725589.0
2021-07-28,34799159.0
2021-07-29,34871515.0
2021-07-30,35062671.0
2021-07-31,35107407.0
2021-08-01,35152821.0
2021-08-02,35260295.0
2021-08-03,35358374.0
2021-08-04,35460779.0
2021-08-05,35570383.0
2021-08-06,35822342.0
2021-08-07,35886269.0
2021-08-08,35922003.0
2021-08-09,36080394.0
2021-08-10,36198715.0
2021-08-11,36353209.0
2021-08-12,36497055.0
2021-08-13,36723767.0
2021-08-14,36798003.0
2021-08-15,36845902.0
2021-08-16,37039224.0
2021-08-17,37190454.0
2021-08-18,37357714.0
2021-08-19,37513090.0
2021-08-20,37752093.0
2021-08-21,37845682.0
2021-08-22,37891098.0
2021-08-23,38097264.0
2021-08-24,38252487.0
2021-08-25,38431642.0
2021-08-26,38615433.0
2021-08-27,38853779.0
2021-08-28,38933864.0
2021-08-29,38987094.0
2021-08-30,39215012.0
